loc_rowid,pl_hostname,pl_name,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassprov,st_dist,st_disterr1,st_disterr2,st_distlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_telescope,pl_mnum,pl_disc,rowupdate
3723,MOA-2008-BLG-379L,MOA-2008-BLG-379L b,1,,,,0,,,,0,,,,0,Mass,3300.00,1300.00,-1200.00,0,,,,0,1303.10300,540.31100,-603.87700,0,,,,0,1.8 m MOA Telescope,0,2013,2020-01-30
3724,MOA-2009-BLG-266L,MOA-2009-BLG-266L b,1,2774.00000000,2810.50000000,-547.50000000,0,,,,,,,,,Mass,3040.00,330.00,-330.00,0,,,,,10.40000,1.70000,-1.70000,0,,,,,1.8 m MOA Telescope,0,2011,2014-10-29
3725,MOA-2009-BLG-319L,MOA-2009-BLG-319L b,1,,,,,,,,,,,,,Mass,6100.00,1100.00,-1200.00,0,,,,,50.00000,44.00000,-24.00000,0,,,,,1.8 m MOA Telescope,0,2010,2014-10-29
3726,MOA-2009-BLG-387L,MOA-2009-BLG-387L b,1,1982.00000000,785.00000000,-588.00000000,0,,,,,52.000,20.000,-12.000,0,Mass,5690.00,2180.00,-2190.00,0,,,,,813.64480,1318.99450,-502.17140,0,,,,,1.8 m MOA Telescope,0,2010,2015-06-04
3727,MOA-2010-BLG-073L,MOA-2010-BLG-073L b,1,,,,,,,,,,,,,Mass,2800.00,400.00,-400.00,0,,,,,3496.00000,635.60000,-635.60000,0,,,,,1.8 m MOA Telescope,0,2012,2014-05-14
3728,MOA-2010-BLG-117L,MOA-2010-BLG-117L b,1,,,,0,,,,0,,,,0,Mass,3500.00,400.00,-400.00,0,,,,0,171.62820,31.78300,-31.78300,0,,,,0,1.8 m MOA Telescope,0,2018,2018-04-05
3729,MOA-2010-BLG-328L,MOA-2010-BLG-328L b,1,,,,,,,,,,,,,Mass,810.00,100.00,-100.00,0,,,,,9.20000,2.20000,-2.20000,0,,,,,1.8 m MOA Telescope,0,2013,2015-06-04
3730,MOA-2010-BLG-353L,MOA-2010-BLG-353L b,1,,,,,,,,,,,,,Mass,6430.00,1090.00,-1150.00,0,,,,,85.81410,152.55840,-50.85280,0,,,,,1.8 m MOA Telescope,0,2015,2016-06-09
3731,MOA-2010-BLG-477L,MOA-2010-BLG-477L b,1,,,,,,,,,,,,,Mass,2300.00,600.00,-600.00,0,,,,,476.70000,254.30000,-95.30000,0,,,,,1.8 m MOA Telescope,0,2012,2014-10-29
3732,MOA-2011-BLG-028L,MOA-2011-BLG-028L b,1,,,,,,,,,,,,,Mass,7380.00,520.00,-620.00,0,,,,,30.00000,16.00000,-12.00000,0,,,,,1.8 m MOA Telescope,0,2016,2016-03-24
3733,MOA-2011-BLG-262L,MOA-2011-BLG-262L b,1,,,,,,,,,,,,,Mass,7000.00,900.00,-1000.00,0,,,,,18.00000,28.00000,-10.00000,0,,,,,1.8 m MOA Telescope,0,2014,2015-06-04
3734,MOA-2011-BLG-291L,MOA-2011-BLG-291L b,1,,,,0,,,,0,,,,0,Mass,4400.00,1400.00,-1400.00,0,,,,0,18.00000,34.00000,-12.00000,0,,,,0,1.8 m MOA Telescope,0,2018,2018-11-29
3735,MOA-2011-BLG-293L,MOA-2011-BLG-293L b,1,,,,,,,,,,,,,Mass,7720.00,440.00,-440.00,0,,,,,1525.50000,95.30000,-95.30000,0,,,,,1.8 m MOA Telescope,0,2012,2014-05-14
3736,MOA-2011-BLG-322L,MOA-2011-BLG-322L b,1,,,,,,,,,,,,,Mass,7560.00,910.00,-910.00,0,,,,,3686.70000,4258.70000,-1779.80000,0,,,,,1.8 m MOA Telescope,0,2013,2014-05-14
3737,MOA-2012-BLG-006L,MOA-2012-BLG-006L b,1,,,,0,,,,0,,,,0,Mass,5300.00,800.00,-1300.00,0,,,,0,2669.77200,1462.01800,-1239.53700,0,,,,0,Multiple Telescopes,0,2017,2017-09-15
3738,MOA-2012-BLG-505L,MOA-2012-BLG-505L b,1,,,,,,,,,,,,,Mass,7210.00,1140.00,-1110.00,0,,,,,6.70000,10.61000,-3.51000,0,,,,,1.8 m MOA Telescope,0,2017,2017-06-22
3739,MOA-2013-BLG-605L,MOA-2013-BLG-605L b,1,,,,,,,,,,,,,Mass,,,,,,,,,3.20000,0.50000,-0.30000,0,,,,,1.8 m MOA Telescope,0,2016,2016-05-19
3740,MOA-2015-BLG-337L,MOA-2015-BLG-337L b,1,,,,0,,,,0,,,,0,Mass,7100.00,1100.00,-1000.00,0,,,,0,33.70000,129.00000,-23.20000,0,,,,0,1.8 m MOA Telescope,0,2018,2018-11-08
3741,MOA-2016-BLG-227L,MOA-2016-BLG-227L b,1,,,,,,,,,,,,,Mass,6500.00,1000.00,-1000.00,0,,,,,889.92400,699.22600,-476.74500,0,,,,,1.8 m MOA Telescope,0,2017,2017-05-18
3742,MOA-2016-BLG-319L,MOA-2016-BLG-319L b,1,,,,0,,,,0,,,,0,Mass,6800.00,1200.00,-1400.00,0,,,,0,197.05460,368.68280,-104.88390,0,,,,0,1.8 m MOA Telescope,0,2018,2018-11-29
3743,MOA-bin-1L,MOA-bin-1L b,1,,,,,,,,,,,,,Mass,5100.00,1200.00,-1900.00,0,,,,,1175.90000,667.40000,-667.40000,0,,,,,1.8 m MOA Telescope,0,2012,2014-05-14
3744,MOA-bin-29,MOA-bin-29 b,1,,,,0,,,,0,,,,0,Mass,7120.00,1150.00,-1050.00,0,,,,0,190.69800,381.39600,-120.77540,0,,,,0,1.8 m MOA Telescope,0,2019,2019-11-07
3745,MXB 1658-298,MXB 1658-298 b,1,760.00000000,,,0,,,,0,,,,0,Mass,,,,,,,,0,7532.57100,1017.05600,-1017.05600,0,,,,0,Multiple Telescopes,0,2017,2017-07-27
3746,NGC 2682 Sand 364,NGC 2682 Sand 364 b,1,121.71000000,0.31000000,-0.31000000,0,0.350000,0.080000,-0.080000,0,,,,0,Msini,837.03,39.41,-39.41,0,,,,0,2126.28270,2580.77960,-2580.77960,0,,,,0,Multiple Telescopes,0,2014,2018-09-06
3747,NGC 2682 Sand 978,NGC 2682 Sand 978 b,1,511.21000000,2.04000000,-2.04000000,0,0.160000,0.070000,-0.070000,0,,,,,Msini,842.01,31.80,-31.80,0,,,,,692.86940,54.03110,-54.03110,0,,,,,Multiple Telescopes,0,2017,2017-03-30
3748,NGC 2682 YBP 1194,NGC 2682 YBP 1194 b,1,6.95900000,0.00100000,-0.00100000,0,0.300000,0.080000,-0.080000,0,,,,,Msini,895.73,29.64,-29.64,0,,,,,101.70560,9.53490,-9.53490,0,,,,,Multiple Telescopes,0,2014,2016-07-07
3749,NGC 2682 YBP 1514,NGC 2682 YBP 1514 b,1,5.11800000,0.00100000,-0.00100000,0,0.280000,0.090000,-0.090000,0,,,,,Msini,939.38,31.78,-31.78,0,,,,,127.13200,120.77540,-120.77540,0,,,,,Multiple Telescopes,0,2014,2016-07-07
3750,NGC 2682 YBP 401,NGC 2682 YBP 401 b,1,4.08700000,0.00700000,-0.00700000,0,0.150000,0.080000,-0.080000,0,,,,,Msini,851.36,22.79,-22.79,0,,,,,146.20180,15.89150,-15.89150,0,,,,,3.6 m ESO Telescope,0,2016,2016-07-07
3751,NGTS-1,NGTS-1 b,1,2.64729800,0.00002000,-0.00002000,0,0.016000,0.023000,-0.012000,0,85.270,0.610,-0.730,0,Mass,224.00,37.00,-44.00,0,790,20,-20,0,258.07796,20.97678,-23.83725,0,14.908,6.837,-3.699,0,20 cm Telescope,0,2017,2017-11-09
3752,NGTS-2,NGTS-2 b,1,4.51116400,0.00006100,-0.00006100,0,0.000000,,,0,88.500,1.000,-1.200,0,Mass,360.30,8.30,-7.80,0,1468,45,-42,0,235.19420,41.31790,-38.13960,0,17.878,0.527,-0.504,0,20 cm Telescope,0,2018,2018-10-04
